schuljahr;abschlussart;geschlecht;anzahl;anzahl_numerisch
2013/14;mit Realschulabschluss;männlich;6755;6755
2014/15;mit Realschulabschluss;männlich;6636;6636
2015/16;mit Realschulabschluss;männlich;7284;7284
2016/17;mit Realschulabschluss;männlich;7554;7554
2017/18;mit Realschulabschluss;männlich;7077;7077
2018/19;mit Realschulabschluss;männlich;7291;7291
2019/20;mit Realschulabschluss;männlich;7638;7638
2020/21;mit Realschulabschluss;männlich;7853;7853
2021/22;mit Realschulabschluss;männlich;7840;7840
2022/23;mit Realschulabschluss;männlich;7782;7782
2023/24;mit Realschulabschluss;männlich;8355;8355
2024/25;mit Realschulabschluss;männlich;8568;8568
1994/95;mit Realschulabschluss;weiblich;14405;14405
1995/96;mit Realschulabschluss;weiblich;14848;14848
1996/97;mit Realschulabschluss;weiblich;14855;14855
1997/98;mit Realschulabschluss;weiblich;13816;13816
1998/99;mit Realschulabschluss;weiblich;13562;13562
1999/00;mit Realschulabschluss;weiblich;14244;14244
2000/01;mit Realschulabschluss;weiblich;15223;15223
2001/02;mit Realschulabschluss;weiblich;14898;14898
2002/03;mit Realschulabschluss;weiblich;14277;14277
2003/04;mit Realschulabschluss;weiblich;13770;13770
2004/05;mit Realschulabschluss;weiblich;13021;13021
2005/06;mit Realschulabschluss;weiblich;12085;12085
2006/07;mit Realschulabschluss;weiblich;9951;9951
2007/08;mit Realschulabschluss;weiblich;7035;7035
2008/09;mit Realschulabschluss;weiblich;5932;5932
2009/10;mit Realschulabschluss;weiblich;5460;5460
2010/11;mit Realschulabschluss;weiblich;4867;4867
2011/12;mit Realschulabschluss;weiblich;5412;5412
2012/13;mit Realschulabschluss;weiblich;5988;5988
2013/14;mit Realschulabschluss;weiblich;6179;6179
2014/15;mit Realschulabschluss;weiblich;6416;6416
2015/16;mit Realschulabschluss;weiblich;6841;6841
2016/17;mit Realschulabschluss;weiblich;6889;6889
2017/18;mit Realschulabschluss;weiblich;6765;6765
2018/19;mit Realschulabschluss;weiblich;6940;6940
2019/20;mit Realschulabschluss;weiblich;7411;7411
2020/21;mit Realschulabschluss;weiblich;7470;7470
2021/22;mit Realschulabschluss;weiblich;7443;7443
2022/23;mit Realschulabschluss;weiblich;7547;7547
2023/24;mit Realschulabschluss;weiblich;7746;7746
2024/25;mit Realschulabschluss;weiblich;8149;8149
1994/95;mit Realschulabschluss;Insgesamt;29825;29825
1995/96;mit Realschulabschluss;Insgesamt;30580;30580
1996/97;mit Realschulabschluss;Insgesamt;29803;29803
1997/98;mit Realschulabschluss;Insgesamt;27831;27831
1998/99;mit Realschulabschluss;Insgesamt;27133;27133
1999/00;mit Realschulabschluss;Insgesamt;28659;28659
2000/01;mit Realschulabschluss;Insgesamt;30020;30020
2001/02;mit Realschulabschluss;Insgesamt;29648;29648
2002/03;mit Realschulabschluss;Insgesamt;28537;28537
2003/04;mit Realschulabschluss;Insgesamt;27466;27466
2004/05;mit Realschulabschluss;Insgesamt;26192;26192
2005/06;mit Realschulabschluss;Insgesamt;24543;24543
2006/07;mit Realschulabschluss;Insgesamt;20485;20485
2007/08;mit Realschulabschluss;Insgesamt;14498;14498
2008/09;mit Realschulabschluss;Insgesamt;12036;12036
2009/10;mit Realschulabschluss;Insgesamt;11093;11093
2010/11;mit Realschulabschluss;Insgesamt;10058;10058
2011/12;mit Realschulabschluss;Insgesamt;10818;10818
2012/13;mit Realschulabschluss;Insgesamt;12047;12047
2013/14;mit Realschulabschluss;Insgesamt;12934;12934
2014/15;mit Realschulabschluss;Insgesamt;13052;13052
2015/16;mit Realschulabschluss;Insgesamt;14125;14125
2016/17;mit Realschulabschluss;Insgesamt;14443;14443
2017/18;mit Realschulabschluss;Insgesamt;13842;13842
2018/19;mit Realschulabschluss;Insgesamt;14231;14231
2019/20;mit Realschulabschluss;Insgesamt;15049;15049
2020/21;mit Realschulabschluss;Insgesamt;15323;15323
2021/22;mit Realschulabschluss;Insgesamt;15283;15283
2022/23;mit Realschulabschluss;Insgesamt;15329;15329
2023/24;mit Realschulabschluss;Insgesamt;16101;16101
2024/25;mit Realschulabschluss;Insgesamt;16717;16717
1994/95;mit Fachhochschulreife;männlich;-;0
1995/96;mit Fachhochschulreife;männlich;-;0
1996/97;mit Fachhochschulreife;männlich;-;0
1997/98;mit Fachhochschulreife;männlich;-;0
1998/99;mit Fachhochschulreife;männlich;-;0
1999/00;mit Fachhochschulreife;männlich;-;0
2000/01;mit Fachhochschulreife;männlich;-;0
2001/02;mit Fachhochschulreife;männlich;-;0
2002/03;mit Fachhochschulreife;männlich;-;0
2003/04;mit Fachhochschulreife;männlich;-;0
2004/05;mit Fachhochschulreife;männlich;-;0
2005/06;mit Fachhochschulreife;männlich;-;0
2006/07;mit Fachhochschulreife;männlich;-;0
2007/08;mit Fachhochschulreife;männlich;-;0
2008/09;mit Fachhochschulreife;männlich;-;0
2009/10;mit Fachhochschulreife;männlich;-;0
2010/11;mit Fachhochschulreife;männlich;-;0
2011/12;mit Fachhochschulreife;männlich;-;0
2012/13;mit Fachhochschulreife;männlich;-;0
2013/14;mit Fachhochschulreife;männlich;-;0
2014/15;mit Fachhochschulreife;männlich;-;0
2015/16;mit Fachhochschulreife;männlich;-;0
2016/17;mit Fachhochschulreife;männlich;-;0
2017/18;mit Fachhochschulreife;männlich;-;0
2018/19;mit Fachhochschulreife;männlich;-;0
2019/20;mit Fachhochschulreife;männlich;-;0
2020/21;mit Fachhochschulreife;männlich;-;0
2021/22;mit Fachhochschulreife;männlich;-;0
2022/23;mit Fachhochschulreife;männlich;-;0
2023/24;mit Fachhochschulreife;männlich;-;0
2024/25;mit Fachhochschulreife;männlich;-;0
1994/95;mit Fachhochschulreife;weiblich;-;0
1995/96;mit Fachhochschulreife;weiblich;-;0
1996/97;mit Fachhochschulreife;weiblich;-;0
1997/98;mit Fachhochschulreife;weiblich;-;0
1998/99;mit Fachhochschulreife;weiblich;-;0
1999/00;mit Fachhochschulreife;weiblich;-;0
2000/01;mit Fachhochschulreife;weiblich;-;0
2001/02;mit Fachhochschulreife;weiblich;-;0
2002/03;mit Fachhochschulreife;weiblich;-;0
2003/04;mit Fachhochschulreife;weiblich;-;0
2004/05;mit Fachhochschulreife;weiblich;-;0
2005/06;mit Fachhochschulreife;weiblich;-;0
2006/07;mit Fachhochschulreife;weiblich;-;0
2007/08;mit Fachhochschulreife;weiblich;-;0
2008/09;mit Fachhochschulreife;weiblich;-;0
2009/10;mit Fachhochschulreife;weiblich;-;0
2010/11;mit Fachhochschulreife;weiblich;-;0
2011/12;mit Fachhochschulreife;weiblich;-;0
2012/13;mit Fachhochschulreife;weiblich;-;0
2013/14;mit Fachhochschulreife;weiblich;-;0
2014/15;mit Fachhochschulreife;weiblich;-;0
