schuljahr,abschlussart,geschlecht,schulart,anzahl
2019/20,mit Realschulabschluss,weiblich,Grundschulen,-
2019/20,mit Realschulabschluss,weiblich,Schularten mit mehreren Bildungsgängen,7411
2019/20,mit Realschulabschluss,weiblich,Gymnasien,289
2019/20,mit Realschulabschluss,weiblich,Förderschulen,14
2019/20,mit Realschulabschluss,weiblich,Freie Waldorfschulen,25
2019/20,mit Realschulabschluss,weiblich,Gemeinschaftsschulen,-
2019/20,mit Realschulabschluss,weiblich,Integrierte Gesamtschulen,-
2019/20,mit Realschulabschluss,weiblich,Schulen des zweiten Bildungsweges,66
2019/20,mit Realschulabschluss,weiblich,außerdem Schulkindergärten entspr.Vorbereitungskl.,-
2020/21,mit Realschulabschluss,weiblich,Grundschulen,-
2020/21,mit Realschulabschluss,weiblich,Schularten mit mehreren Bildungsgängen,7470
2020/21,mit Realschulabschluss,weiblich,Gymnasien,307
2020/21,mit Realschulabschluss,weiblich,Förderschulen,14
2020/21,mit Realschulabschluss,weiblich,Freie Waldorfschulen,27
2020/21,mit Realschulabschluss,weiblich,Gemeinschaftsschulen,-
2020/21,mit Realschulabschluss,weiblich,Integrierte Gesamtschulen,-
2020/21,mit Realschulabschluss,weiblich,Schulen des zweiten Bildungsweges,58
2020/21,mit Realschulabschluss,weiblich,außerdem Schulkindergärten entspr.Vorbereitungskl.,-
2021/22,mit Realschulabschluss,weiblich,Grundschulen,-
2021/22,mit Realschulabschluss,weiblich,Schularten mit mehreren Bildungsgängen,7443
2021/22,mit Realschulabschluss,weiblich,Gymnasien,461
2021/22,mit Realschulabschluss,weiblich,Förderschulen,19
2021/22,mit Realschulabschluss,weiblich,Freie Waldorfschulen,27
2021/22,mit Realschulabschluss,weiblich,Gemeinschaftsschulen,-
2021/22,mit Realschulabschluss,weiblich,Integrierte Gesamtschulen,-
2021/22,mit Realschulabschluss,weiblich,Schulen des zweiten Bildungsweges,46
2021/22,mit Realschulabschluss,weiblich,außerdem Schulkindergärten entspr.Vorbereitungskl.,-
2022/23,mit Realschulabschluss,weiblich,Grundschulen,-
2022/23,mit Realschulabschluss,weiblich,Schularten mit mehreren Bildungsgängen,7547
2022/23,mit Realschulabschluss,weiblich,Gymnasien,520
2022/23,mit Realschulabschluss,weiblich,Förderschulen,18
2022/23,mit Realschulabschluss,weiblich,Freie Waldorfschulen,28
2022/23,mit Realschulabschluss,weiblich,Gemeinschaftsschulen,-
2022/23,mit Realschulabschluss,weiblich,Integrierte Gesamtschulen,-
2022/23,mit Realschulabschluss,weiblich,Schulen des zweiten Bildungsweges,68
2022/23,mit Realschulabschluss,weiblich,außerdem Schulkindergärten entspr.Vorbereitungskl.,-
2023/24,mit Realschulabschluss,weiblich,Grundschulen,-
2023/24,mit Realschulabschluss,weiblich,Schularten mit mehreren Bildungsgängen,7746
2023/24,mit Realschulabschluss,weiblich,Gymnasien,616
2023/24,mit Realschulabschluss,weiblich,Förderschulen,23
2023/24,mit Realschulabschluss,weiblich,Freie Waldorfschulen,22
2023/24,mit Realschulabschluss,weiblich,Gemeinschaftsschulen,-
2023/24,mit Realschulabschluss,weiblich,Integrierte Gesamtschulen,16
2023/24,mit Realschulabschluss,weiblich,Schulen des zweiten Bildungsweges,59
2023/24,mit Realschulabschluss,weiblich,außerdem Schulkindergärten entspr.Vorbereitungskl.,-
2024/25,mit Realschulabschluss,weiblich,Grundschulen,-
2024/25,mit Realschulabschluss,weiblich,Schularten mit mehreren Bildungsgängen,8149
2024/25,mit Realschulabschluss,weiblich,Gymnasien,657
2024/25,mit Realschulabschluss,weiblich,Förderschulen,10
2024/25,mit Realschulabschluss,weiblich,Freie Waldorfschulen,38
2024/25,mit Realschulabschluss,weiblich,Gemeinschaftsschulen,-
2024/25,mit Realschulabschluss,weiblich,Integrierte Gesamtschulen,-
2024/25,mit Realschulabschluss,weiblich,Schulen des zweiten Bildungsweges,79
2024/25,mit Realschulabschluss,weiblich,außerdem Schulkindergärten entspr.Vorbereitungskl.,-
1994/95,mit Realschulabschluss,Insgesamt,Grundschulen,-
1994/95,mit Realschulabschluss,Insgesamt,Schularten mit mehreren Bildungsgängen,29825
1994/95,mit Realschulabschluss,Insgesamt,Gymnasien,398
1994/95,mit Realschulabschluss,Insgesamt,Förderschulen,66
1994/95,mit Realschulabschluss,Insgesamt,Freie Waldorfschulen,4
1994/95,mit Realschulabschluss,Insgesamt,Gemeinschaftsschulen,-
1994/95,mit Realschulabschluss,Insgesamt,Integrierte Gesamtschulen,-
1994/95,mit Realschulabschluss,Insgesamt,Schulen des zweiten Bildungsweges,47
1994/95,mit Realschulabschluss,Insgesamt,außerdem Schulkindergärten entspr.Vorbereitungskl.,-
1995/96,mit Realschulabschluss,Insgesamt,Grundschulen,-
1995/96,mit Realschulabschluss,Insgesamt,Schularten mit mehreren Bildungsgängen,30580
1995/96,mit Realschulabschluss,Insgesamt,Gymnasien,967
1995/96,mit Realschulabschluss,Insgesamt,Förderschulen,79
1995/96,mit Realschulabschluss,Insgesamt,Freie Waldorfschulen,10
1995/96,mit Realschulabschluss,Insgesamt,Gemeinschaftsschulen,-
1995/96,mit Realschulabschluss,Insgesamt,Integrierte Gesamtschulen,-
1995/96,mit Realschulabschluss,Insgesamt,Schulen des zweiten Bildungsweges,39
1995/96,mit Realschulabschluss,Insgesamt,außerdem Schulkindergärten entspr.Vorbereitungskl.,-
1996/97,mit Realschulabschluss,Insgesamt,Grundschulen,-
1996/97,mit Realschulabschluss,Insgesamt,Schularten mit mehreren Bildungsgängen,29803
1996/97,mit Realschulabschluss,Insgesamt,Gymnasien,1100
1996/97,mit Realschulabschluss,Insgesamt,Förderschulen,84
1996/97,mit Realschulabschluss,Insgesamt,Freie Waldorfschulen,13
1996/97,mit Realschulabschluss,Insgesamt,Gemeinschaftsschulen,-
1996/97,mit Realschulabschluss,Insgesamt,Integrierte Gesamtschulen,-
1996/97,mit Realschulabschluss,Insgesamt,Schulen des zweiten Bildungsweges,65
1996/97,mit Realschulabschluss,Insgesamt,außerdem Schulkindergärten entspr.Vorbereitungskl.,-
1997/98,mit Realschulabschluss,Insgesamt,Grundschulen,-
1997/98,mit Realschulabschluss,Insgesamt,Schularten mit mehreren Bildungsgängen,27831
1997/98,mit Realschulabschluss,Insgesamt,Gymnasien,1454
1997/98,mit Realschulabschluss,Insgesamt,Förderschulen,70
1997/98,mit Realschulabschluss,Insgesamt,Freie Waldorfschulen,30
1997/98,mit Realschulabschluss,Insgesamt,Gemeinschaftsschulen,-
1997/98,mit Realschulabschluss,Insgesamt,Integrierte Gesamtschulen,-
1997/98,mit Realschulabschluss,Insgesamt,Schulen des zweiten Bildungsweges,48
1997/98,mit Realschulabschluss,Insgesamt,außerdem Schulkindergärten entspr.Vorbereitungskl.,-
1998/99,mit Realschulabschluss,Insgesamt,Grundschulen,-
1998/99,mit Realschulabschluss,Insgesamt,Schularten mit mehreren Bildungsgängen,27133
1998/99,mit Realschulabschluss,Insgesamt,Gymnasien,1928
1998/99,mit Realschulabschluss,Insgesamt,Förderschulen,59
1998/99,mit Realschulabschluss,Insgesamt,Freie Waldorfschulen,37
1998/99,mit Realschulabschluss,Insgesamt,Gemeinschaftsschulen,-
1998/99,mit Realschulabschluss,Insgesamt,Integrierte Gesamtschulen,-
1998/99,mit Realschulabschluss,Insgesamt,Schulen des zweiten Bildungsweges,91
1998/99,mit Realschulabschluss,Insgesamt,außerdem Schulkindergärten entspr.Vorbereitungskl.,-
1999/00,mit Realschulabschluss,Insgesamt,Grundschulen,-
1999/00,mit Realschulabschluss,Insgesamt,Schularten mit mehreren Bildungsgängen,28659
1999/00,mit Realschulabschluss,Insgesamt,Gymnasien,1999
1999/00,mit Realschulabschluss,Insgesamt,Förderschulen,58
1999/00,mit Realschulabschluss,Insgesamt,Freie Waldorfschulen,21
1999/00,mit Realschulabschluss,Insgesamt,Gemeinschaftsschulen,-
1999/00,mit Realschulabschluss,Insgesamt,Integrierte Gesamtschulen,-
1999/00,mit Realschulabschluss,Insgesamt,Schulen des zweiten Bildungsweges,81
1999/00,mit Realschulabschluss,Insgesamt,außerdem Schulkindergärten entspr.Vorbereitungskl.,-
2000/01,mit Realschulabschluss,Insgesamt,Grundschulen,-
2000/01,mit Realschulabschluss,Insgesamt,Schularten mit mehreren Bildungsgängen,30020
2000/01,mit Realschulabschluss,Insgesamt,Gymnasien,2230
2000/01,mit Realschulabschluss,Insgesamt,Förderschulen,56
2000/01,mit Realschulabschluss,Insgesamt,Freie Waldorfschulen,25
2000/01,mit Realschulabschluss,Insgesamt,Gemeinschaftsschulen,-
2000/01,mit Realschulabschluss,Insgesamt,Integrierte Gesamtschulen,-
2000/01,mit Realschulabschluss,Insgesamt,Schulen des zweiten Bildungsweges,83
2000/01,mit Realschulabschluss,Insgesamt,außerdem Schulkindergärten entspr.Vorbereitungskl.,-
2001/02,mit Realschulabschluss,Insgesamt,Grundschulen,-
2001/02,mit Realschulabschluss,Insgesamt,Schularten mit mehreren Bildungsgängen,29648
2001/02,mit Realschulabschluss,Insgesamt,Gymnasien,1633
2001/02,mit Realschulabschluss,Insgesamt,Förderschulen,56
2001/02,mit Realschulabschluss,Insgesamt,Freie Waldorfschulen,33
2001/02,mit Realschulabschluss,Insgesamt,Gemeinschaftsschulen,-
2001/02,mit Realschulabschluss,Insgesamt,Integrierte Gesamtschulen,-
2001/02,mit Realschulabschluss,Insgesamt,Schulen des zweiten Bildungsweges,144
2001/02,mit Realschulabschluss,Insgesamt,außerdem Schulkindergärten entspr.Vorbereitungskl.,-
2002/03,mit Realschulabschluss,Insgesamt,Grundschulen,-
2002/03,mit Realschulabschluss,Insgesamt,Schularten mit mehreren Bildungsgängen,28537
2002/03,mit Realschulabschluss,Insgesamt,Gymnasien,1406
2002/03,mit Realschulabschluss,Insgesamt,Förderschulen,75
2002/03,mit Realschulabschluss,Insgesamt,Freie Waldorfschulen,29
2002/03,mit Realschulabschluss,Insgesamt,Gemeinschaftsschulen,-
2002/03,mit Realschulabschluss,Insgesamt,Integrierte Gesamtschulen,-
2002/03,mit Realschulabschluss,Insgesamt,Schulen des zweiten Bildungsweges,122
2002/03,mit Realschulabschluss,Insgesamt,außerdem Schulkindergärten entspr.Vorbereitungskl.,-
2003/04,mit Realschulabschluss,Insgesamt,Grundschulen,-
2003/04,mit Realschulabschluss,Insgesamt,Schularten mit mehreren Bildungsgängen,27466
2003/04,mit Realschulabschluss,Insgesamt,Gymnasien,1218
2003/04,mit Realschulabschluss,Insgesamt,Förderschulen,43
2003/04,mit Realschulabschluss,Insgesamt,Freie Waldorfschulen,35
2003/04,mit Realschulabschluss,Insgesamt,Gemeinschaftsschulen,-
2003/04,mit Realschulabschluss,Insgesamt,Integrierte Gesamtschulen,-
2003/04,mit Realschulabschluss,Insgesamt,Schulen des zweiten Bildungsweges,149
2003/04,mit Realschulabschluss,Insgesamt,außerdem Schulkindergärten entspr.Vorbereitungskl.,-
2004/05,mit Realschulabschluss,Insgesamt,Grundschulen,-
2004/05,mit Realschulabschluss,Insgesamt,Schularten mit mehreren Bildungsgängen,26192
2004/05,mit Realschulabschluss,Insgesamt,Gymnasien,1061
2004/05,mit Realschulabschluss,Insgesamt,Förderschulen,78
2004/05,mit Realschulabschluss,Insgesamt,Freie Waldorfschulen,35
2004/05,mit Realschulabschluss,Insgesamt,Gemeinschaftsschulen,-
2004/05,mit Realschulabschluss,Insgesamt,Integrierte Gesamtschulen,-
2004/05,mit Realschulabschluss,Insgesamt,Schulen des zweiten Bildungsweges,195
2004/05,mit Realschulabschluss,Insgesamt,außerdem Schulkindergärten entspr.Vorbereitungskl.,-
2005/06,mit Realschulabschluss,Insgesamt,Grundschulen,-
2005/06,mit Realschulabschluss,Insgesamt,Schularten mit mehreren Bildungsgängen,24543
2005/06,mit Realschulabschluss,Insgesamt,Gymnasien,1081
2005/06,mit Realschulabschluss,Insgesamt,Förderschulen,55
2005/06,mit Realschulabschluss,Insgesamt,Freie Waldorfschulen,36
2005/06,mit Realschulabschluss,Insgesamt,Gemeinschaftsschulen,-
2005/06,mit Realschulabschluss,Insgesamt,Integrierte Gesamtschulen,-
2005/06,mit Realschulabschluss,Insgesamt,Schulen des zweiten Bildungsweges,239
2005/06,mit Realschulabschluss,Insgesamt,außerdem Schulkindergärten entspr.Vorbereitungskl.,-
2006/07,mit Realschulabschluss,Insgesamt,Grundschulen,-
2006/07,mit Realschulabschluss,Insgesamt,Schularten mit mehreren Bildungsgängen,20485
2006/07,mit Realschulabschluss,Insgesamt,Gymnasien,1200
2006/07,mit Realschulabschluss,Insgesamt,Förderschulen,64
2006/07,mit Realschulabschluss,Insgesamt,Freie Waldorfschulen,26
2006/07,mit Realschulabschluss,Insgesamt,Gemeinschaftsschulen,-
2006/07,mit Realschulabschluss,Insgesamt,Integrierte Gesamtschulen,-
2006/07,mit Realschulabschluss,Insgesamt,Schulen des zweiten Bildungsweges,283
2006/07,mit Realschulabschluss,Insgesamt,außerdem Schulkindergärten entspr.Vorbereitungskl.,-
2007/08,mit Realschulabschluss,Insgesamt,Grundschulen,-
2007/08,mit Realschulabschluss,Insgesamt,Schularten mit mehreren Bildungsgängen,14498
2007/08,mit Realschulabschluss,Insgesamt,Gymnasien,1387
2007/08,mit Realschulabschluss,Insgesamt,Förderschulen,51
2007/08,mit Realschulabschluss,Insgesamt,Freie Waldorfschulen,41
2007/08,mit Realschulabschluss,Insgesamt,Gemeinschaftsschulen,-
2007/08,mit Realschulabschluss,Insgesamt,Integrierte Gesamtschulen,-
2007/08,mit Realschulabschluss,Insgesamt,Schulen des zweiten Bildungsweges,252
2007/08,mit Realschulabschluss,Insgesamt,außerdem Schulkindergärten entspr.Vorbereitungskl.,-
2008/09,mit Realschulabschluss,Insgesamt,Grundschulen,-
2008/09,mit Realschulabschluss,Insgesamt,Schularten mit mehreren Bildungsgängen,12036
2008/09,mit Realschulabschluss,Insgesamt,Gymnasien,1164
2008/09,mit Realschulabschluss,Insgesamt,Förderschulen,43
2008/09,mit Realschulabschluss,Insgesamt,Freie Waldorfschulen,31
2008/09,mit Realschulabschluss,Insgesamt,Gemeinschaftsschulen,-
2008/09,mit Realschulabschluss,Insgesamt,Integrierte Gesamtschulen,-
2008/09,mit Realschulabschluss,Insgesamt,Schulen des zweiten Bildungsweges,242
2008/09,mit Realschulabschluss,Insgesamt,außerdem Schulkindergärten entspr.Vorbereitungskl.,-
2009/10,mit Realschulabschluss,Insgesamt,Grundschulen,-
2009/10,mit Realschulabschluss,Insgesamt,Schularten mit mehreren Bildungsgängen,11093
2009/10,mit Realschulabschluss,Insgesamt,Gymnasien,639
2009/10,mit Realschulabschluss,Insgesamt,Förderschulen,33
2009/10,mit Realschulabschluss,Insgesamt,Freie Waldorfschulen,40
2009/10,mit Realschulabschluss,Insgesamt,Gemeinschaftsschulen,-
2009/10,mit Realschulabschluss,Insgesamt,Integrierte Gesamtschulen,-
2009/10,mit Realschulabschluss,Insgesamt,Schulen des zweiten Bildungsweges,229
2009/10,mit Realschulabschluss,Insgesamt,außerdem Schulkindergärten entspr.Vorbereitungskl.,-
2010/11,mit Realschulabschluss,Insgesamt,Grundschulen,-
2010/11,mit Realschulabschluss,Insgesamt,Schularten mit mehreren Bildungsgängen,10058
2010/11,mit Realschulabschluss,Insgesamt,Gymnasien,717
2010/11,mit Realschulabschluss,Insgesamt,Förderschulen,42
2010/11,mit Realschulabschluss,Insgesamt,Freie Waldorfschulen,30
2010/11,mit Realschulabschluss,Insgesamt,Gemeinschaftsschulen,-
2010/11,mit Realschulabschluss,Insgesamt,Integrierte Gesamtschulen,-
2010/11,mit Realschulabschluss,Insgesamt,Schulen des zweiten Bildungsweges,232
2010/11,mit Realschulabschluss,Insgesamt,außerdem Schulkindergärten entspr.Vorbereitungskl.,-
2011/12,mit Realschulabschluss,Insgesamt,Grundschulen,-
2011/12,mit Realschulabschluss,Insgesamt,Schularten mit mehreren Bildungsgängen,10818
2011/12,mit Realschulabschluss,Insgesamt,Gymnasien,699
2011/12,mit Realschulabschluss,Insgesamt,Förderschulen,25
2011/12,mit Realschulabschluss,Insgesamt,Freie Waldorfschulen,43
2011/12,mit Realschulabschluss,Insgesamt,Gemeinschaftsschulen,-
2011/12,mit Realschulabschluss,Insgesamt,Integrierte Gesamtschulen,-
2011/12,mit Realschulabschluss,Insgesamt,Schulen des zweiten Bildungsweges,198
2011/12,mit Realschulabschluss,Insgesamt,außerdem Schulkindergärten entspr.Vorbereitungskl.,-
2012/13,mit Realschulabschluss,Insgesamt,Grundschulen,-
2012/13,mit Realschulabschluss,Insgesamt,Schularten mit mehreren Bildungsgängen,12047
2012/13,mit Realschulabschluss,Insgesamt,Gymnasien,782
2012/13,mit Realschulabschluss,Insgesamt,Förderschulen,33
2012/13,mit Realschulabschluss,Insgesamt,Freie Waldorfschulen,23
2012/13,mit Realschulabschluss,Insgesamt,Gemeinschaftsschulen,-
2012/13,mit Realschulabschluss,Insgesamt,Integrierte Gesamtschulen,-
2012/13,mit Realschulabschluss,Insgesamt,Schulen des zweiten Bildungsweges,192
2012/13,mit Realschulabschluss,Insgesamt,außerdem Schulkindergärten entspr.Vorbereitungskl.,-
2013/14,mit Realschulabschluss,Insgesamt,Grundschulen,-
2013/14,mit Realschulabschluss,Insgesamt,Schularten mit mehreren Bildungsgängen,12934
2013/14,mit Realschulabschluss,Insgesamt,Gymnasien,914
2013/14,mit Realschulabschluss,Insgesamt,Förderschulen,61
2013/14,mit Realschulabschluss,Insgesamt,Freie Waldorfschulen,45
2013/14,mit Realschulabschluss,Insgesamt,Gemeinschaftsschulen,-
2013/14,mit Realschulabschluss,Insgesamt,Integrierte Gesamtschulen,-
2013/14,mit Realschulabschluss,Insgesamt,Schulen des zweiten Bildungsweges,196
2013/14,mit Realschulabschluss,Insgesamt,außerdem Schulkindergärten entspr.Vorbereitungskl.,-
2014/15,mit Realschulabschluss,Insgesamt,Grundschulen,-
2014/15,mit Realschulabschluss,Insgesamt,Schularten mit mehreren Bildungsgängen,13052
2014/15,mit Realschulabschluss,Insgesamt,Gymnasien,968
2014/15,mit Realschulabschluss,Insgesamt,Förderschulen,64
2014/15,mit Realschulabschluss,Insgesamt,Freie Waldorfschulen,47
2014/15,mit Realschulabschluss,Insgesamt,Gemeinschaftsschulen,-
2014/15,mit Realschulabschluss,Insgesamt,Integrierte Gesamtschulen,-
2014/15,mit Realschulabschluss,Insgesamt,Schulen des zweiten Bildungsweges,174
2014/15,mit Realschulabschluss,Insgesamt,außerdem Schulkindergärten entspr.Vorbereitungskl.,-
2015/16,mit Realschulabschluss,Insgesamt,Grundschulen,-
2015/16,mit Realschulabschluss,Insgesamt,Schularten mit mehreren Bildungsgängen,14125
2015/16,mit Realschulabschluss,Insgesamt,Gymnasien,1154
2015/16,mit Realschulabschluss,Insgesamt,Förderschulen,47
2015/16,mit Realschulabschluss,Insgesamt,Freie Waldorfschulen,47
2015/16,mit Realschulabschluss,Insgesamt,Gemeinschaftsschulen,-
2015/16,mit Realschulabschluss,Insgesamt,Integrierte Gesamtschulen,-
2015/16,mit Realschulabschluss,Insgesamt,Schulen des zweiten Bildungsweges,179
2015/16,mit Realschulabschluss,Insgesamt,außerdem Schulkindergärten entspr.Vorbereitungskl.,-
2016/17,mit Realschulabschluss,Insgesamt,Grundschulen,-
2016/17,mit Realschulabschluss,Insgesamt,Schularten mit mehreren Bildungsgängen,14443
2016/17,mit Realschulabschluss,Insgesamt,Gymnasien,805
2016/17,mit Realschulabschluss,Insgesamt,Förderschulen,45
2016/17,mit Realschulabschluss,Insgesamt,Freie Waldorfschulen,42
2016/17,mit Realschulabschluss,Insgesamt,Gemeinschaftsschulen,-
2016/17,mit Realschulabschluss,Insgesamt,Integrierte Gesamtschulen,-
2016/17,mit Realschulabschluss,Insgesamt,Schulen des zweiten Bildungsweges,129
2016/17,mit Realschulabschluss,Insgesamt,außerdem Schulkindergärten entspr.Vorbereitungskl.,-
2017/18,mit Realschulabschluss,Insgesamt,Grundschulen,-
2017/18,mit Realschulabschluss,Insgesamt,Schularten mit mehreren Bildungsgängen,13842
2017/18,mit Realschulabschluss,Insgesamt,Gymnasien,849
2017/18,mit Realschulabschluss,Insgesamt,Förderschulen,54
2017/18,mit Realschulabschluss,Insgesamt,Freie Waldorfschulen,48
2017/18,mit Realschulabschluss,Insgesamt,Gemeinschaftsschulen,-
2017/18,mit Realschulabschluss,Insgesamt,Integrierte Gesamtschulen,-
2017/18,mit Realschulabschluss,Insgesamt,Schulen des zweiten Bildungsweges,132
2017/18,mit Realschulabschluss,Insgesamt,außerdem Schulkindergärten entspr.Vorbereitungskl.,-
2018/19,mit Realschulabschluss,Insgesamt,Grundschulen,-
2018/19,mit Realschulabschluss,Insgesamt,Schularten mit mehreren Bildungsgängen,14231
2018/19,mit Realschulabschluss,Insgesamt,Gymnasien,930
2018/19,mit Realschulabschluss,Insgesamt,Förderschulen,44
2018/19,mit Realschulabschluss,Insgesamt,Freie Waldorfschulen,46
2018/19,mit Realschulabschluss,Insgesamt,Gemeinschaftsschulen,-
2018/19,mit Realschulabschluss,Insgesamt,Integrierte Gesamtschulen,-
2018/19,mit Realschulabschluss,Insgesamt,Schulen des zweiten Bildungsweges,139
2018/19,mit Realschulabschluss,Insgesamt,außerdem Schulkindergärten entspr.Vorbereitungskl.,-
2019/20,mit Realschulabschluss,Insgesamt,Grundschulen,-
2019/20,mit Realschulabschluss,Insgesamt,Schularten mit mehreren Bildungsgängen,15049
2019/20,mit Realschulabschluss,Insgesamt,Gymnasien,621
2019/20,mit Realschulabschluss,Insgesamt,Förderschulen,46
2019/20,mit Realschulabschluss,Insgesamt,Freie Waldorfschulen,44
2019/20,mit Realschulabschluss,Insgesamt,Gemeinschaftsschulen,-
2019/20,mit Realschulabschluss,Insgesamt,Integrierte Gesamtschulen,-
2019/20,mit Realschulabschluss,Insgesamt,Schulen des zweiten Bildungsweges,174
2019/20,mit Realschulabschluss,Insgesamt,außerdem Schulkindergärten entspr.Vorbereitungskl.,-
2020/21,mit Realschulabschluss,Insgesamt,Grundschulen,-
2020/21,mit Realschulabschluss,Insgesamt,Schularten mit mehreren Bildungsgängen,15323
2020/21,mit Realschulabschluss,Insgesamt,Gymnasien,641
2020/21,mit Realschulabschluss,Insgesamt,Förderschulen,41
2020/21,mit Realschulabschluss,Insgesamt,Freie Waldorfschulen,61
2020/21,mit Realschulabschluss,Insgesamt,Gemeinschaftsschulen,-
2020/21,mit Realschulabschluss,Insgesamt,Integrierte Gesamtschulen,-
2020/21,mit Realschulabschluss,Insgesamt,Schulen des zweiten Bildungsweges,141
2020/21,mit Realschulabschluss,Insgesamt,außerdem Schulkindergärten entspr.Vorbereitungskl.,-
2021/22,mit Realschulabschluss,Insgesamt,Grundschulen,-
2021/22,mit Realschulabschluss,Insgesamt,Schularten mit mehreren Bildungsgängen,15283
2021/22,mit Realschulabschluss,Insgesamt,Gymnasien,1007
2021/22,mit Realschulabschluss,Insgesamt,Förderschulen,43
2021/22,mit Realschulabschluss,Insgesamt,Freie Waldorfschulen,58
2021/22,mit Realschulabschluss,Insgesamt,Gemeinschaftsschulen,-
2021/22,mit Realschulabschluss,Insgesamt,Integrierte Gesamtschulen,-
2021/22,mit Realschulabschluss,Insgesamt,Schulen des zweiten Bildungsweges,107
2021/22,mit Realschulabschluss,Insgesamt,außerdem Schulkindergärten entspr.Vorbereitungskl.,-
2022/23,mit Realschulabschluss,Insgesamt,Grundschulen,-
2022/23,mit Realschulabschluss,Insgesamt,Schularten mit mehreren Bildungsgängen,15329
2022/23,mit Realschulabschluss,Insgesamt,Gymnasien,1065
2022/23,mit Realschulabschluss,Insgesamt,Förderschulen,53
2022/23,mit Realschulabschluss,Insgesamt,Freie Waldorfschulen,74
2022/23,mit Realschulabschluss,Insgesamt,Gemeinschaftsschulen,-
2022/23,mit Realschulabschluss,Insgesamt,Integrierte Gesamtschulen,-
2022/23,mit Realschulabschluss,Insgesamt,Schulen des zweiten Bildungsweges,151
2022/23,mit Realschulabschluss,Insgesamt,außerdem Schulkindergärten entspr.Vorbereitungskl.,-
2023/24,mit Realschulabschluss,Insgesamt,Grundschulen,-
2023/24,mit Realschulabschluss,Insgesamt,Schularten mit mehreren Bildungsgängen,16101
2023/24,mit Realschulabschluss,Insgesamt,Gymnasien,1286
2023/24,mit Realschulabschluss,Insgesamt,Förderschulen,66
2023/24,mit Realschulabschluss,Insgesamt,Freie Waldorfschulen,56
2023/24,mit Realschulabschluss,Insgesamt,Gemeinschaftsschulen,-
2023/24,mit Realschulabschluss,Insgesamt,Integrierte Gesamtschulen,43
2023/24,mit Realschulabschluss,Insgesamt,Schulen des zweiten Bildungsweges,131
2023/24,mit Realschulabschluss,Insgesamt,außerdem Schulkindergärten entspr.Vorbereitungskl.,-
2024/25,mit Realschulabschluss,Insgesamt,Grundschulen,-
2024/25,mit Realschulabschluss,Insgesamt,Schularten mit mehreren Bildungsgängen,16717
2024/25,mit Realschulabschluss,Insgesamt,Gymnasien,1363
2024/25,mit Realschulabschluss,Insgesamt,Förderschulen,39
2024/25,mit Realschulabschluss,Insgesamt,Freie Waldorfschulen,68
2024/25,mit Realschulabschluss,Insgesamt,Gemeinschaftsschulen,-
2024/25,mit Realschulabschluss,Insgesamt,Integrierte Gesamtschulen,-
2024/25,mit Realschulabschluss,Insgesamt,Schulen des zweiten Bildungsweges,165
2024/25,mit Realschulabschluss,Insgesamt,außerdem Schulkindergärten entspr.Vorbereitungskl.,-
1994/95,mit Fachhochschulreife,männlich,Grundschulen,-
1994/95,mit Fachhochschulreife,männlich,Schularten mit mehreren Bildungsgängen,-
1994/95,mit Fachhochschulreife,männlich,Gymnasien,-
1994/95,mit Fachhochschulreife,männlich,Förderschulen,-
1994/95,mit Fachhochschulreife,männlich,Freie Waldorfschulen,-
1994/95,mit Fachhochschulreife,männlich,Gemeinschaftsschulen,-
1994/95,mit Fachhochschulreife,männlich,Integrierte Gesamtschulen,-
1994/95,mit Fachhochschulreife,männlich,Schulen des zweiten Bildungsweges,-
1994/95,mit Fachhochschulreife,männlich,außerdem Schulkindergärten entspr.Vorbereitungskl.,-
1995/96,mit Fachhochschulreife,männlich,Grundschulen,-
1995/96,mit Fachhochschulreife,männlich,Schularten mit mehreren Bildungsgängen,-
1995/96,mit Fachhochschulreife,männlich,Gymnasien,-
1995/96,mit Fachhochschulreife,männlich,Förderschulen,-
1995/96,mit Fachhochschulreife,männlich,Freie Waldorfschulen,-
1995/96,mit Fachhochschulreife,männlich,Gemeinschaftsschulen,-
1995/96,mit Fachhochschulreife,männlich,Integrierte Gesamtschulen,-
1995/96,mit Fachhochschulreife,männlich,Schulen des zweiten Bildungsweges,-
1995/96,mit Fachhochschulreife,männlich,außerdem Schulkindergärten entspr.Vorbereitungskl.,-
1996/97,mit Fachhochschulreife,männlich,Grundschulen,-
1996/97,mit Fachhochschulreife,männlich,Schularten mit mehreren Bildungsgängen,-
1996/97,mit Fachhochschulreife,männlich,Gymnasien,-
1996/97,mit Fachhochschulreife,männlich,Förderschulen,-
1996/97,mit Fachhochschulreife,männlich,Freie Waldorfschulen,-
1996/97,mit Fachhochschulreife,männlich,Gemeinschaftsschulen,-
1996/97,mit Fachhochschulreife,männlich,Integrierte Gesamtschulen,-
1996/97,mit Fachhochschulreife,männlich,Schulen des zweiten Bildungsweges,-
1996/97,mit Fachhochschulreife,männlich,außerdem Schulkindergärten entspr.Vorbereitungskl.,-
1997/98,mit Fachhochschulreife,männlich,Grundschulen,-
1997/98,mit Fachhochschulreife,männlich,Schularten mit mehreren Bildungsgängen,-
1997/98,mit Fachhochschulreife,männlich,Gymnasien,-
1997/98,mit Fachhochschulreife,männlich,Förderschulen,-
