schuljahr,abschlussart,geschlecht,schulart,anzahl
2010/11,ohne Hauptschulabschluss,männlich,außerdem Schulkindergärten entspr.Vorbereitungskl.,-
2011/12,ohne Hauptschulabschluss,männlich,Grundschulen,-
2011/12,ohne Hauptschulabschluss,männlich,Schularten mit mehreren Bildungsgängen,443
2011/12,ohne Hauptschulabschluss,männlich,Gymnasien,1
2011/12,ohne Hauptschulabschluss,männlich,Förderschulen,918
2011/12,ohne Hauptschulabschluss,männlich,Freie Waldorfschulen,-
2011/12,ohne Hauptschulabschluss,männlich,Gemeinschaftsschulen,-
2011/12,ohne Hauptschulabschluss,männlich,Integrierte Gesamtschulen,-
2011/12,ohne Hauptschulabschluss,männlich,Schulen des zweiten Bildungsweges,x
2011/12,ohne Hauptschulabschluss,männlich,außerdem Schulkindergärten entspr.Vorbereitungskl.,-
2012/13,ohne Hauptschulabschluss,männlich,Grundschulen,-
2012/13,ohne Hauptschulabschluss,männlich,Schularten mit mehreren Bildungsgängen,457
2012/13,ohne Hauptschulabschluss,männlich,Gymnasien,-
2012/13,ohne Hauptschulabschluss,männlich,Förderschulen,1110
2012/13,ohne Hauptschulabschluss,männlich,Freie Waldorfschulen,-
2012/13,ohne Hauptschulabschluss,männlich,Gemeinschaftsschulen,-
2012/13,ohne Hauptschulabschluss,männlich,Integrierte Gesamtschulen,-
2012/13,ohne Hauptschulabschluss,männlich,Schulen des zweiten Bildungsweges,x
2012/13,ohne Hauptschulabschluss,männlich,außerdem Schulkindergärten entspr.Vorbereitungskl.,-
2013/14,ohne Hauptschulabschluss,männlich,Grundschulen,-
2013/14,ohne Hauptschulabschluss,männlich,Schularten mit mehreren Bildungsgängen,531
2013/14,ohne Hauptschulabschluss,männlich,Gymnasien,1
2013/14,ohne Hauptschulabschluss,männlich,Förderschulen,905
2013/14,ohne Hauptschulabschluss,männlich,Freie Waldorfschulen,-
2013/14,ohne Hauptschulabschluss,männlich,Gemeinschaftsschulen,-
2013/14,ohne Hauptschulabschluss,männlich,Integrierte Gesamtschulen,-
2013/14,ohne Hauptschulabschluss,männlich,Schulen des zweiten Bildungsweges,x
2013/14,ohne Hauptschulabschluss,männlich,außerdem Schulkindergärten entspr.Vorbereitungskl.,-
2014/15,ohne Hauptschulabschluss,männlich,Grundschulen,-
2014/15,ohne Hauptschulabschluss,männlich,Schularten mit mehreren Bildungsgängen,473
2014/15,ohne Hauptschulabschluss,männlich,Gymnasien,3
2014/15,ohne Hauptschulabschluss,männlich,Förderschulen,934
2014/15,ohne Hauptschulabschluss,männlich,Freie Waldorfschulen,2
2014/15,ohne Hauptschulabschluss,männlich,Gemeinschaftsschulen,-
2014/15,ohne Hauptschulabschluss,männlich,Integrierte Gesamtschulen,-
2014/15,ohne Hauptschulabschluss,männlich,Schulen des zweiten Bildungsweges,x
2014/15,ohne Hauptschulabschluss,männlich,außerdem Schulkindergärten entspr.Vorbereitungskl.,-
2015/16,ohne Hauptschulabschluss,männlich,Grundschulen,-
2015/16,ohne Hauptschulabschluss,männlich,Schularten mit mehreren Bildungsgängen,547
2015/16,ohne Hauptschulabschluss,männlich,Gymnasien,3
2015/16,ohne Hauptschulabschluss,männlich,Förderschulen,1019
2015/16,ohne Hauptschulabschluss,männlich,Freie Waldorfschulen,1
2015/16,ohne Hauptschulabschluss,männlich,Gemeinschaftsschulen,-
2015/16,ohne Hauptschulabschluss,männlich,Integrierte Gesamtschulen,-
2015/16,ohne Hauptschulabschluss,männlich,Schulen des zweiten Bildungsweges,x
2015/16,ohne Hauptschulabschluss,männlich,außerdem Schulkindergärten entspr.Vorbereitungskl.,-
2016/17,ohne Hauptschulabschluss,männlich,Grundschulen,-
2016/17,ohne Hauptschulabschluss,männlich,Schularten mit mehreren Bildungsgängen,647
2016/17,ohne Hauptschulabschluss,männlich,Gymnasien,1
2016/17,ohne Hauptschulabschluss,männlich,Förderschulen,929
2016/17,ohne Hauptschulabschluss,männlich,Freie Waldorfschulen,2
2016/17,ohne Hauptschulabschluss,männlich,Gemeinschaftsschulen,-
2016/17,ohne Hauptschulabschluss,männlich,Integrierte Gesamtschulen,-
2016/17,ohne Hauptschulabschluss,männlich,Schulen des zweiten Bildungsweges,x
2016/17,ohne Hauptschulabschluss,männlich,außerdem Schulkindergärten entspr.Vorbereitungskl.,-
2017/18,ohne Hauptschulabschluss,männlich,Grundschulen,-
2017/18,ohne Hauptschulabschluss,männlich,Schularten mit mehreren Bildungsgängen,704
2017/18,ohne Hauptschulabschluss,männlich,Gymnasien,-
2017/18,ohne Hauptschulabschluss,männlich,Förderschulen,955
2017/18,ohne Hauptschulabschluss,männlich,Freie Waldorfschulen,1
2017/18,ohne Hauptschulabschluss,männlich,Gemeinschaftsschulen,-
2017/18,ohne Hauptschulabschluss,männlich,Integrierte Gesamtschulen,-
2017/18,ohne Hauptschulabschluss,männlich,Schulen des zweiten Bildungsweges,x
