"id","name","institution_key","abbreviation","owner_id","owner_abbreviation","owner_name","owner_type"
"3724","Karl Schubert Schule Leipzig - Freie Waldorfschule (Schule in freier Trägerschaft)","4412722","fasz-leipzig-KSWAL","6098","KSWAL","Karl Schubert Schule Leipzig. Freie Waldorfschule e.V.","20"
"797","Katharina-von-Bora-Oberschule Torgau","4430559","oaos-torgau-bora","221","","Stadt Torgau","15"
"2022","Käthe-Kollwitz-Oberschule","4530648","oaos-crimmitschau-kollw","106","","Stadt Crimmitschau","15"
"1371","Kemmlerschule, Oberschule","4530333","oaos-plauen-kemml","929","","Stadt Plauen","15"
"843","Klaus-Gottschalk-Schule - Oberschule der Stadt Leipzig","4431052","oaos-leipzig-gottsc","876","","Stadt Leipzig","14"
"3134","KOMPAKT-Schule mit Zukunft - Oberschule Gemeinnützige Schulträgergesellschaft mbH (Schule in freier Trägerschaft)","4530978","faos-zwickau-KOMP","1092","KOMP","KOMPAKT - Schule mit Zukunft gemeinnützige Schulträgergesellschaft mbH","29"
"4094","Kulturwerkschule - Oberschule (Schule in freier Trägerschaft)","4331807","faos-dresden-KWSDD","6157","KWSDD","Kulturwerkschule gGmbH","20"
"202","Kurfürst-Moritz-Schule, Oberschule Boxdorf","4330601","oaos-moritzburg","36","","Gemeinde Moritzburg","12"
"1115","Lehngrundschule, Oberschule","4531067","oaos-glauchau-lehngr","788","","Stadt Glauchau","15"
"2381","Lene-Voigt-Schule - Oberschule der Stadt Leipzig","4431409","oaos-leipzig-voigt","876","","Stadt Leipzig","14"
"351","Leonhard-Frank-Oberschule","4331146","oaos-coswig-frank","596","","Stadt Coswig","15"
"2292","Lessing-Oberschule Schkeuditz","4430294","oaos-schkeuditz","605","","Stadt Schkeuditz","15"
"2221","Ludwig-Renn-Oberschule Stolpen","4331120","oaos-stolpen","285","","Stadt Stolpen","13"
"216","Ludwig-Richter-Schule, Oberschule Radeberg","4130050","oaos-radeberg-richte","27","","Stadt Radeberg","15"
"1873","Marianne-Brandt-Oberschule Chemnitz","4230330","oaos-chemnitz-brandt","873","","Stadt Chemnitz","14"
"1928","Marienschule Treuen-Oberschule","4530374","oaos-treuen","1286","","Schulverband Treuener Land","18"
"449","Melanchthonschule Oberschule 3","4130134","oaos-goerlitz-melanc","367","","Stadt Görlitz","15"
"4012","Melli-Beese-Oberschule (Schule in freier Trägerschaft)","4331757","faos-dresden-SEMPW","1020","SEMPW","Gemeinnützige Gesellschaft Semper Bildungswerk mbH","29"
"3370","Montessorischule Chemnitz - Oberschule (Schule in freier Trägerschaft)","4232989","faos-chemnitz-MVC","1106","MVC","Montessori-Verein Chemnitz e.V.","22"
"3280","Neue Oberschule Crottendorf (Schule in freier Trägerschaft)","4231528","faos-crottendorf-ASG","1278","ASG","ASG - Anerkannte Schulgesellschaft mbH","29"
"1481","Oberschule ""Am Flughafen""","4230561","oaos-chemnitz-flugh","873","","Stadt Chemnitz","14"
"4217","Oberschule ""Am Hartmannplatz""","4233086","oaos-chemnitz-oshart","873","","Stadt Chemnitz","14"
"655","Oberschule ""Am Holländer"" Döbeln","4231585","oaos-doebeln","721","","Stadt Döbeln","15"
"413","Oberschule ""Am Knöchel"" Sebnitz","4331112","oaos-sebnitz","283","","Stadt Sebnitz","15"
"1430","Oberschule ""Am Körnerplatz"" Chemnitz","4230538","oaos-chemnitz-koerne","873","","Stadt Chemnitz","14"
"2091","Oberschule ""Am Marienschacht"" Bannewitz","4330585","oaos-bannewitz","217","","Gemeinde Bannewitz","12"
"47","Oberschule ""Am Merzdorfer Park"" Riesa","4331377","oaos-riesa-merzd","390","","Stadt Riesa","15"
"49","Oberschule ""Am Sportzentrum"" Riesa","4331351","oaos-riesa-sport","390","","Stadt Riesa","15"
"1541","Oberschule ""Am Valtenberg""","4130795","oaos-neukirch.l","810","","Gemeinde Neukirch/Lausitz","12"
"1953","Oberschule ""An der Mulde""","4230850","oaos-rochlitz","497","","Stadt Rochlitz","15"
"2249","Oberschule ""Anne Frank"" Stauchitz","4331419","oaos-stauchitz","383","","Gemeinde Stauchitz","12"
"2013","Oberschule ""August Bebel""","4231353","oaos-zschopau-bebel","533","","Stadt Zschopau","15"
"29","Oberschule ""Carl Friedrich Gauß"" Pirna-Sonnenstein","4331088","oaos-pirna-gauss","288","","Stadt Pirna","15"
"1853","Oberschule ""Clara Zetkin""","4230058","oaos-freiberg-zetkin","694","","Stadt Freiberg","15"
"1852","Oberschule ""Clemens Winkler""","4230066","oaos-freiberg-winkl","694","","Stadt Freiberg","15"
"2133","Oberschule ""Dr. Marja Grollmuß""","4130449","oaos-schleife","422","","Gemeinde Schleife","12"
