"id","name","owner_id","owner_abbreviation","owner_name","owner_type"
"4007","Freie Oberschule Gohlis -Schulen für gemeinschaftliches Lernen e.V. (Schule in freier Trägerschaft)","6020","SCHUG","Schulen für gemeinschaftliches Lernen e. V.","22"
"3148","Freie Oberschule Rietschen (Schule in freier Trägerschaft)","6023","FSRIE","Freie Schule Rietschen e. V.","22"
"3433","Freie Oberschule Sabel Freital (Schule in freier Trägerschaft)","1027","SABEL","Sabel Freital gGmbH","29"
"3299","Freie Oberschule „Johann Heinrich Pestalozzi“ (Schule in freier Trägerschaft)","6049","TVDUB","Freie Schule Großdubrau e. V.","22"
"3976","Freie Oberschule am König-Albert-Stift Plauen des Institut für Wissen und Bildung private Berufsfachschulen GmbH (Schule in freier Trägerschaft)","1302","IWB","Institut für Wissen und Bildung private Berufsfachschulen GmbH","29"
"3309","Freie Schule Boxberg/ O.L. (Oberschule)- (Schule in freier Trägerschaft)","6054","TVBOX","Trägerverein Freie Schule Boxberg/O.L. e.V.","22"
"3123","Freie Schule Erzgebirgsblick, Oberschule - staatlich anerkannte Ersatzschule - (Schule in freier Trägerschaft)","955","FESE","Freie Schule Erzgebirgsblick gGmbH","22"
"4236","Freie Schule Langenbernsdorf Oberschule (Schule in freier Trägerschaft)","6195","FSL","Freie Schule Langenbernsdorf Oberschule gGmbH","20"
"1620","Freie Schule Leipzig e.V. (Schule in freier Trägerschaft)","1072","FRSCH","Freie Schule Leipzig e.V.","22"
"3302","Freie Schule Schwepnitz - Oberschule (Schule in freier Trägerschaft)","6051","FSITZ","Freie Schule Schwepnitz e.V.","22"
"4008","Freie Schule Torgau Oberschule (Schule in freier Trägerschaft)","1369","PROTO","PRO MONTESSORI e.V.","22"
"3730","Freie Waldorfschule ""Jacob Böhme"" (Schule in freier Trägerschaft)","6100","JBSGZ","Jacob Böhme Schule e. V.","20"
"1828","Freie Waldorfschule Dresden (Schule in freier Trägerschaft)","1073","AWALD","Verein der Freien Waldorfschule Dresden e. V.","22"
"1622","Freie Waldorfschule Leipzig (Schule in freier Trägerschaft)","1038","WALDO","Verein der Waldorfschulgemeinschaft Leipzig e.V.","22"
"4086","Freies Evangelisches Limbacher Schulzentrum - Oberschule (Schule in freier Trägerschaft)","6153","ESLO","Evangelischer Schulverein Limbach-Oberfrohna e. V.","22"
"3216","Freie Schule Weißenberg - Oberschule (Schule in freier Trägerschaft)","6036","SVWB","Schulträgerverein Weißenberg e.V.","22"
"1368","Friedensschule Plauen - Oberschule","929","","Stadt Plauen","15"
"4072","Friedrich August III. Oberschule (Schule in freier Trägerschaft)","6149","SGS","SGS Sächsische Gesellschaft für handwerks- und mittelstandsbezogene Schulbildung gGmbH","20"
"1884","Friedrich-Adolf-Wilhelm-Diesterweg-Oberschule","873","","Stadt Chemnitz","14"
"1952","Friedrich-Eduard-Bilz-Oberschule Penig","507","","Stadt Penig","13"
"1947","Friedrich-Gottlob-Keller-Oberschule","516","","Stadt Hainichen","13"
"409","Friedrich-Schiller-Oberschule Neustadt/Sachsen","298","","Stadt Neustadt i. Sa.","13"
"2311","Friedrich-Tschanter-Oberschule Eilenburg","763","","Stadt Eilenburg","15"
"1404","Fucikschule, Oberschule","104","","Stadt Zwickau","15"
"158","Gerhart-Hauptmann-Schule Sohland, Oberschule","801","","Gemeinde Sohland a. d. Spree","12"
